DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH,UNRATE,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,DGS10,THREEFFTP10_PCH,DGS5,DGS2,DGS1,DGS1MO
2012-06-01,228.524,97.4577,0.091428571,-4.97385,0.465586842,8.3779,8.2,4.036818182,1.871818182,1.622380952,-10.17386,0.711428571,0.291904762,0.189047619,0.051904762
2012-07-01,228.59,97.6786,0.097142857,0.93468,0.453554545,2.46711,8.2,3.804545455,1.699545455,1.526666667,1.03594,0.61952381,0.248095238,0.185714286,0.06952381
2012-08-01,229.918,97.2842,0.102608696,-11.17399,0.4326,-6.09952,8.1,3.72,1.673478261,1.67826087,-42.43114,0.713913043,0.268695652,0.183478261,0.092173913
2012-09-01,231.015,97.2295,0.105263158,-0.83401,0.3856325,11.11111,7.8,3.577619048,1.607619048,1.723157895,-37.66467,0.668947368,0.255263158,0.175789474,0.075263158
2012-10-01,231.638,97.5344,0.104761905,0.93447,0.33048913,-6.15385,7.8,3.388636364,1.592272727,1.746190476,20.49466,0.708571429,0.277142857,0.17952381,0.10952381
2012-11-01,231.249,97.9837,0.0935,12.49855,0.311022727,16.55738,7.7,3.350909091,1.536818182,1.654,-17.64672,0.665,0.268,0.1785,0.1245
2012-12-01,231.221,98.2122,0.07,1.39903,0.309473684,-2.391,7.9,3.354,1.587,1.719,-9.9321,0.696,0.257,0.1585,0.0395
2013-01-01,231.679,98.1664,0.074285714,1.69423,0.302613636,4.17867,8,3.324545455,2.054090909,1.914761905,-5.87332,0.805238095,0.265238095,0.145238095,0.051904762
2013-02-01,232.937,98.6458,0.098947368,2.00519,0.290495,-2.62794,7.7,3.407,2.0805,1.984210526,-6.30249,0.846315789,0.267368421,0.157368421,0.076842105
2013-03-01,232.282,99.0597,0.087,3.8533,0.2819,-1.27841,7.5,3.374761905,2.052857143,1.9575,40.90187,0.8185,0.256,0.1475,0.078
2013-04-01,231.797,98.9927,0.06,-2.69329,0.277142857,8.34532,7.6,3.250454545,1.955909091,1.759090909,-16.23867,0.710454545,0.232272727,0.124545455,0.049090909
2013-05-01,231.893,99.0726,0.044090909,-8.35188,0.274169048,-5.9761,7.5,3.303043478,2.05826087,1.928181818,-49.29071,0.840909091,0.250454545,0.118636364,0.020454545
2013-06-01,232.445,99.2065,0.0505,-12.97782,0.27374,6.9209,7.5,3.824285714,2.442857143,2.3,-79.93173,1.2035,0.3335,0.142,0.0345
2013-07-01,232.9,98.9204,0.035454545,6.69822,0.267582609,-2.24571,7.3,4.00826087,2.700434783,2.582272727,-166.33785,1.403181818,0.340909091,0.121818182,0.020909091
2013-08-01,233.456,99.4996,0.043636364,7.08518,0.263395238,1.89189,7.2,4.073333333,2.841428571,2.737272727,-481.36415,1.520454545,0.356363636,0.126818182,0.036818182
2013-09-01,233.544,100.0568,0.016,0.59473,0.253178571,12.33422,7.2,4.125714286,2.89952381,2.8095,20.80252,1.596,0.404,0.1185,0.0175
2013-10-01,233.669,99.9168,0.047272727,-5.43708,0.241765217,8.02834,7.2,3.919565217,2.742173913,2.615909091,3.10741,1.366818182,0.335454545,0.121363636,0.105909091
2013-11-01,234.1,100.1762,0.067894737,-3.24886,0.238245238,-8.96175,6.9,3.894545455,2.802272727,2.718421053,-46.97174,1.371052632,0.303684211,0.121578947,0.046842105
2013-12-01,234.719,100.3658,0.066666667,1.83476,0.2438975,17.16687,6.7,3.901428571,2.87047619,2.901904762,59.7266,1.576190476,0.34,0.132857143,0.019047619
2014-01-01,235.288,100.038,0.043333333,7.29745,0.238229545,-9.01639,6.6,3.809545455,2.807727273,2.858095238,143.91789,1.646666667,0.393809524,0.116190476,0.017142857
2014-02-01,235.547,100.7918,0.052631579,0.66533,0.2352025,8.33333,6.7,3.708,2.705,2.709473684,28.61916,1.515789474,0.326842105,0.116842105,0.046842105
2014-03-01,236.028,101.7782,0.052380952,-2.38145,0.234097619,4.9896,6.7,3.7,2.723809524,2.723333333,-5.57872,1.63952381,0.399047619,0.128095238,0.051428571
2014-04-01,236.468,101.8337,0.030952381,-1.0532,0.227495,-17.32673,6.2,3.623809524,2.602857143,2.705238095,-48.46681,1.700952381,0.417142857,0.107619048,0.023333333
2014-05-01,236.918,102.2325,0.032380952,2.96514,0.22609,11.37725,6.3,3.465652174,2.505217391,2.559047619,70.81691,1.592857143,0.389047619,0.096666667,0.026666667
